Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
CHI '24,Assessment of Sign Language-Based versus Touch-Based Input for Deaf Users Interacting with Intelligent Personal Assistants,10.1145/3613904.3642094,Accessibility&Aging,"Participants' ASL sign language commands were literally interpreted and converted into voice commands relayed to Alexa (simulating language translation), while managing linguistic interaction logic—including wake-word handling (recognizing fingerspelled ""Alexa"" or name gestures) and interpreting commands when the wake word was omitted. The operator remotely controlled the laptop at the ""Dorothy"" station via VNC Viewer, observed participants' signing through a FaceTime session, recorded video using the Photo Booth application, and simultaneously transmitted voice commands to Alexa via microphone to trigger environmental devices (e.g., lights, Fire TV). The simulated system also handled non-responsive scenarios (e.g., refraining from repeating commands and waiting for participant decisions) and addressed incomprehensible signs by triggering ""Alexa, write"" to prompt participants to retry.","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","  • “Using this methodology, we can simulate machine sign language recognition technologies to better gauge their usability.” 
  • “In particular, the “Dorothy” station provided the smart home environment to participants,… It was controlled remotely by the researcher at the “Wizard” station.” 
  • “For ASL to Alexa, using the Wizard-of-Oz method, …communicating the sign language commands to Alexa.” 
  • “To facilitate communication between deaf participants and Alexa in the ASL…the Wizard was required to use literal interpretation for each session.” ","Alignment with Prior Work, Technical Limitation","- “Many of the signs used show potential for interpreter error, and its correct interpretation depends on the Wizard’s understanding of the context. Not all fingerspelling is crisp and clear, and participants sometimes produced fingerspelled words with partially produced or omitted letters.””
- “The sign language to spoken English chain of transmission for commands in the Wizard-of-Oz setup also is a potential limiting factor. Due to the interpreting, there was additional lag time between the ASL input of the participant’s command and Alexa’s response and corresponding processing, compared to voice-only interaction. The need for audio from the Wizard to issue commands also resulted in problems and frustration that would not exist in a hypothetical ASL-based IPA.”
+ “To further minimize possible interpretation biases, the Wizard was only informed of the condition order, but not of the specifics of each task list. This approach is in marked contrast to what interpreter training typically practices, as most other scenarios require interpreters to use functionally/dynamically equivalent interpretation. In the latter situation, interpreters voice the concepts that are implied by what they see [42]. This created tension for the Wizard and required them to be continually monitored by the deaf research team to ensure they did not inadvertently step out of their role.”","Temporal and Performance Constraints, Wizard Variability and Bias",Accessibility & Aging,Not specified,Not specified,,,,
CHI '24,Designing and Evaluating an Advanced Dance Video Comprehension Tool with In-situ Move Identification Capabilities,10.1145/3613904.3642710,Work & Creativity Support,1. the dance moves were manually annotated before the experiment,"Pre-scripted Content Control, System Logic Simulation Control",1. allowed us to concentrate on the observational aspect of the study without being hindered by the limitations of current technology,"Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '24,Designing Scaffolding Strategies for Conversational Agents in Dialog Task of Neurocognitive Disorders Screening,10.1145/3613904.3642960,Health&Well-being,"1. manages the CA’s conversations using an interface that incorporates our scafolding framework
2. controlling the token’s movement in the simulator (see Fig. 10) according to the user’s response","Communication Control, Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “However, a fully automatic CA necessitates a sophisticated system that integrates technologies such as automatic speech recognition, natural language processing, and speech  synthesis”
2. “In this preliminary study, we concentrate on designing the CA’s scafolding strategies”",Cost-Efficiency,"1. ""Though participants and clinical experts considered the latency acceptable in this study, further investigation and solutions for the latency issue are needed because it might influence the spatial navigation performance of people with memory decrements.""
2. ""Additionally, wizards were trained to respond faster.""",Temporal and Performance Constraints,Well-being & Health,"1. leverage ChatGPT for scaffolding and recommendation
2. “the integration with the large language model, ChatGPT, could provide implications for designing a fully automated CA for dialog tasks of NCD screening in the future.”",Wizard with LLM,,,,
CHI '24,Better to Ask Than Assume: Proactive Voice Assistants’ Communication Strategies That Respect User Agency in a Smart Home Environment,10.1145/3613904.3642193,Mobile Ubiquitous & Wearable Computing,"1. operated smart home devices and communicated with the user to support the user’s various activities with the purpose of refecting user agency.
2. predict the users’ needs and intents based on their human intuition and senses, and also to take ownership of their communication to adapt to user agency and proactively provide services
3. monitored the users in real-time","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","1. “profciently interpret and predict users’ context and intentions”
2. “freely converse with users without any constraints of current technologies”
3. “directly operate and express their expectations and desires through the proactive VA, thereby ensuring a user-centered perspective and keeping the study free from experimenter biases.”","Adaptive Flexibility, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '24,An Emotion Translator: Speculative Design By Neurodiverse Dyads,10.1145/3613904.3642210,Accessibility&Aging,"1. When a participant said or typed a pictograph number, a researcher (1) pasted the pictograph into a pictograph speech bubble, then (2) pasted their partner’s corresponding image based on the pictograph number.","Communication Control, System Logic Simulation Control",1. “adjust the prototype’s look-and-feel in real-time”,Adaptive Flexibility,Not specified,Not specified,Accessibility & Aging,Not specified,Not specified,,,,
CHI '24,Beyond the Waiting Room: Patient's Perspectives on the Conversational Nuances of Pre-Consultation Chatbots,10.1145/3613904.3641913,Health&Well-being,1. medical professionals manually typed each response to simulate the Wizard agent in the chatbot interface,Communication Control,"  • ”...an AI agent powered by GPT-4 that served as a design probe representative of existing LLMs...”
  • “...and (2) a Wizard-of-Oz agent that was operated by medical professionals to emulate how a human would go about pre-consultation while being confined to a text-based platform.”
  • “Our study was not designed to determine which of the two conditions was superior but rather to contrast them as two instantiations of conversational agents based on the same prompt.”
  • ""The Wizard agent asked an average of 3.0 additional questions per participant, …and relevance of the conversation content were lacking.”",Benchmark,"1. ""There was no noticeable difference in response speed between the two conditions, as a similar amount of latency was introduced in both.""
2. ""When [the chatbot] asked the open-ended question ... it moved on quickly.""",Temporal and Performance Constraints,Well-being & Health,1. The paper compares a GPT-4-based AI agent with a WoZ agent for pre-consultation chatbot design. 'The AI condition was built on the latest version of OpenAI's GPT-4 [49] ...',Wizard versus LLM,,,,
CHI '24,MindShift: Leveraging Large Language Models for Mental-States-Based Problematic Smartphone Use Intervention,10.1145/3613904.3642790,Health&Well-being,"1. Based on smartphone usage duration and frequency, the experimenter designed and delivered persuasive messages.","Communication Control, System Logic Simulation Control","1. ""To address these gaps, we first conducted a Wizard-of-Oz study (N=12), followed by an interview study (N=10) to better understand the mental states behind problematic smartphone use and effective persuasion strategies.""",Psychological Realism,Not specified,Not specified,Well-being & Health,"1. The WoZ study identified the mental states behind problematic smartphone use (boredom, stress, and inertia), and these findings informed the design of four persuasion strategies.
2. Those strategies were later integrated into the LLM-based MindShift system to guide the generation of personalized persuasive content. 'Integrating our persuasion strategies with LLMs, we designed and implemented MindShift ...'",Wizard before LLM,,,,
ICMI '24,EVAC 2024 – Empathic Virtual Agent Challenge: Appraisal-based Recognition of Affective States,10.1145/3678957.3689029,Health&Well-being,"1. tele-operated a virtual assistant by capturing a remote operator's head movements, gaze, speech, and articulation in real time
2. used scripted speech identical for all participants while allowing free intervention for unforeseen questions or problems","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control","“The virtual assistant was tele-operated by a human, acting as a Wizard-of-Oz, and whose speech was scripted and thus identical for all participants, but allowed for free intervention in the event of unforeseen questions or problems, cf. Fig. 2.”",Adaptive Flexibility,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
IMX '24,CoAR-TV: Design and Evaluation of Asynchronous Collaboration in AR-Supported TV Experiences,10.1145/3639701.3656320,"Education&Learning, XR/VR/AR","1. we mocked the interaction between the AR application and the TV show, as well as the show’s broadcasting.
2. The host character called “Minty” was created and animated using Adobe Character 9 Animator and a customized clay figure puppet. The character was voiced by one of the authors whose voice was altered with the help of the voice modulator Voice.AI10. To mock broadcasting on TV, the show sequences were presented on a TV with a notebook using PowerPoint11 and a remote presenter device to give the participants the illusion of an interactive, broadcasted TV experience.","Embodied & Environmental Action Control, Pre-scripted Content Control","  • ”In the prototyping phase, we focused on the collaboration techniques we derived from Brown et al.’s Cognitive Apprenticeship Model. We developed a Wizard-of-Oz prototype… the concept as realistically as possible.“
  • ”We built a Wizard-of-Oz prototype [4] by combining already working and mocked features...and the interaction with AR and TV content before jumping deeper into concept development.”
",Cost-Efficiency,Not specified,Not specified,"Augmenting Capabilities, Education",Not specified,Not specified,,,,
AutomotiveUI '24,‘Talking with your Car’: Design of Human-Centered Conversational AI in Autonomous Vehicles,10.1145/3640792.3675713,Automotive User Interfaces,1. listened to their conversations and generated responses from the Conversational AI setup using a voice-based readout application.,"Communication Control, Embodied & Environmental Action Control, Wizard Collaboration & Mediation",Not specified,Not specified,"1. ""Also, over-information and long waiting times can be irritating and lead to a reduction in the quality of conversations.""",Temporal and Performance Constraints,Augmenting Capabilities,1. use ChatGPT to produce response,Wizard with LLM,,,,
