Series,Title,DOI,Domain,Control,Control Type,Motivation,Motivation Tag,Concerns(-) & Mitigations(+),Concern & Mitigation Typeype,LLM-ification Domain,LLM-related,Wizard-LLMs,,,,
UMAP '22,Walking with PACE - Personalized and Automated Coaching Engine,10.1145/3503252.3531301,Health&Well-being,"1. uses that prompt in PACE UI tool to generate appropriate nudge messages and interacts with participant via a popular chat smartphone messenger app
2. interact with the subjects to assist them in the surveys, determine the appropriate habit-formation stage, and help them choose appropriate goals and exercise plans following the OARS (Open-ended questions, Affirming, Reflective listening, and Summarizing)-based approach but in their own natural style","Communication Control, System Logic Simulation Control","1. “WoZ is a common approach used for testing human-robot interaction which allowed us to substitute natural language understanding and generation tasks by keeping a human in the loop”
2. “Having a human expert also enables having a safety net to ensure sensitive conversations can be appropriately handled”","Adaptive Flexibility, Technical Limitation",Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
HRI '22,Robotic Improvisers: Rule-Based Improvisation and Emergent Behaviour in HRI,,HRI,"“Our Wizard-of-Oz puppeteering system included two identical Pepper robots where one of them (the “puppet”) was kinaesthetically controlled by one or two dancers, while the other robot (the “puppeteered”) was replicating the motion of the puppet through wireless communication of the robot’s join positions”","Embodied & Environmental Action Control, Wizard Collaboration & Mediation","“a type of design exploration that focuses on flexibility, possibility and design insights as perceived by the designers rather than on verifiability and replicability”","Adaptive Flexibility, Alignment with Prior Work","* “Interestingly, this switching behaviour was perceived by the dancers as “stubborn”. At other moments a similar effect resulted from how the robot would unexpectedly switch to its “autonomous life” mode... it turned out to be a compelling feature” “Secondly, with regards to the topic of the robot taking initiative on its own, we hypothesised about the possibility of designing a framework in which this type of behaviour could emerge”*",Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '21,Guiding Preferred Driving Style Using Voice in Autonomous Vehicles: An On-Road Wizard-of-Oz Study,10.1145/3461778.3462056,Automotive User Interfaces,"1. drove the vehicle reflecting the passenger’s guide
2. provide voice feedback on passengers’ guiding commands through the Text-to-speech application","Communication Control, Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “let the study participants experience a more immersive autonomous system”
2. “more freely design the details of the scenarios to allow participants to be absorbed in the hypothetical AV situation”
3. “maximize the freedom of interaction, allowing the researchers to observe multi-faceted and unforeseen findings”
4. “the possible preconceptions from the experimenter could be minimized by the role of participant wizards”
5. “implement the AV system beyond the technical constraints”","Adaptive Flexibility, Controlling Confounds, Psychological Realism, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '21,Patterns for Representing Knowledge Graphs to Communicate Situational Knowledge of Service Robots,10.1145/3411764.3445767,HRI,"1. queried the knowledge graph and remotely controlled the service robot through the WoZ testing system
2. sent control commands and displayed knowledge-based UI states on the robot","Embodied & Environmental Action Control, Pre-scripted Content Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '21,"Trade-offs for Substituting a Human with an Agent in a Pair Programming Context: The Good, the Bad, and the Ugly",10.1145/3411764.3445659,Work & Creativity Support,"1. simulated the components of a conversational agent (e.g., speech recognition, intent understanding, dialogue state tracking, dialogue policy, response generation) using a constrained Wizard of Oz protocol","Pre-scripted Content Control, System Logic Simulation Control",“Simulating an agent allows for the rapid-prototyping of technically demanding interfaces that have yet to be created”,Technical Limitation,Not specified,Not specified,"Augmenting Capabilities, Programming",Not specified,Not specified,,,,
CHI '21,StoryCoder: Teaching Computational Thinking Concepts Through Storytelling in a Voice-Guided App for Children,10.1145/3411764.3445039,Education&Learning,"1. speak through the device and hear the child’s responses, much like a telephone call
2. determine which flows to move forward with for implementation based on children’s observed engagement levels and responses to follow-up questions.","Communication Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,Education,Not specified,Not specified,,,,
CHI '21,Effective Interfaces for Student-Driven Revision Sessions for Argumentative Writing,10.1145/3411764.3445683,"Education&Learning, Work & Creativity Support","1. Handling automation-related tasks: In Wizard of Oz (WoZ) prototyping, humans manually perform tasks typically handled by automation—for instance, addressing errors arising from NLP processing. Specifically, the wizard corrects errors generated by the server during the alignment and categorization of revised content before participants begin the second round of revisions.
2. Categorizing revised content: The ArgRewrite server automatically extracts and categorizes revised content. Within the experimental protocol, the wizard verifies and refines these categorization results to ensure accuracy. In conditions B, C, and D, the wizard confirms whether the student agrees with the category of the revised sentence presented by the tool; students are required to provide this confirmation both before and after completing their final revision.",System Logic Simulation Control,1. “We did so to eliminate the confounding factors of NLP automation errors when we compare different conditions.”,"Controlling Confounds, Technical Limitation",Not specified,Not specified,"Communication & Writing, Education",Not specified,Not specified,,,,
CHI '21,Automating Clinical Documentation with Digital Scribes: Understanding the Impact on Physicians,10.1145/3411764.3445172,Health&Well-being,"1. observe and run the digital scribe system from the outside without interfering with the consultation
2.  involved in ""activating"" and ""deactivating"" the digital scribe recording, as well as copying the generated notes back into the OscarEMR for a seamless, integrated experience",Wizard Collaboration & Mediation,"“that are not hindered by current technical limitations, as there is a general understanding that this field is still in its infancy”",Technical Limitation,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
IMX '21,Mixing Modalities of 3D Sketching and Speech for Interactive Model Retrieval in Virtual Reality,10.1145/3452918.3458806,"Multimodal & Emerging Interaction Techniques, XR/VR/AR","1. considers only the relevant terms from the speech description and classifies them in the corresponding category specified in the dictionary (used as feature vector)
2. generates a feature vector and arranges five chairs with the most similar descriptor, calculated via Euclidean distance. These chairs are sent back to the user as a system suggestion.","Communication Control, System Logic Simulation Control","1. “In this way, we avoid the complexities of natural language processing which frequently requires fine-tuning to be robust.”
2. “speech recognition software gave us very low accuracy”","Cost-Efficiency, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CUI '21,Conversational review-based explanations for recommender systems: Exploring users’ query behavior,10.1145/3469595.3469596,Work & Creativity Support,1. simulates the response actions of the system,"Communication Control, Pre-scripted Content Control","1. “allow for the incremental design of conversational interfaces”
2. “ to validate how users would interact with a conversational interface, and to evaluate the feasibility of dialog based systems that have not yet been fully implemented”
3. “a technique that has been widely adopted for HCI prototyping [15, 40].”","Alignment with Prior Work, Technical Limitation","1. ""Such a set up raises some ethical concerns given the necessary deception.""
2. ""We disclosed in the debrief that the responses were written by a human.""",Deception,Unknown,Not specified,Not specified,,,,
CUI '21,Democratizing Design and Fabrication Using Speech: Exploring co-design with a voice assistant,10.1145/3469595.3469624,Work & Creativity Support,"1. acted as a mediating layer between the drawing wizard and the participant
2. used a 13"" MacBook Pro to draw the ornaments in Sketch, a vector drawing composition computer program
3. the drawing wizard was in constant communication with the voice wizard to clarify the strategy as well as to communicate with the participant","Communication Control, Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “Methodologically, our study draws on techniques developed in Martelaro & Ju’s WoZ Way [13] study”",Alignment with Prior Work,"1. ""Second, substantial delays between conversation turns led participants to limit the number of turns out of a desire to reduce awkward waiting, rather than satisfaction with the current state.""",Temporal and Performance Constraints,"Augmenting Capabilities, Creativity, Design",Not specified,Not specified,,,,
MobileHCI '21,Ubiquitous Interactions for Heads-Up Computing: Understanding Users’ Preferences for Subtle Interaction Techniques in Everyday Settings,10.1145/3447526.3472035,"Mobile Ubiquitous & Wearable Computing, XR/VR/AR",1. triggered the prompt on the smart glasses and removed the prompt after visually observing that the participant had completed the interaction,System Logic Simulation Control,"1. “ In order to have a comparison that is close to the theoretical ideal situation of each technique”
2. “This way we could ignore the issues from the technical implementation and focus on the user experience as the users performed the specific gestures for each mode of interaction.”
3. “Since the artifacts that were used in place of the actual sensors had no sensing capabilities”
4. “given our emphasis on capturing users’ experiences while performing the interaction”","Benchmark, Technical Limitation","1. ""This path was chosen as it was representative of the slopes in real world terrains.""
2. ""Participants were asked to complete the tasks at their natural pace.""",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '21,Machine Body Language: Expressing a Smart Speaker’s Activity with Intelligible Physical Motion,10.1145/3461778.3462031,"HRI, Mobile Ubiquitous & Wearable Computing","1. send commands to QUBI using serial communication. In addition, the GUI allows the operator to play scripted voice responses to the participants’ requests.","Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control",1. “allowed us to create and control interaction breakdowns for the purpose of investigating how the participants would react”,Controlling Confounds,"1. ""QUBI's nod was slightly delayed ... We observed this seven times across other similar instance with five participants.""
2. ""By giving the participants one task at a time, the experimenter stayed in control of the timing ... so it resembled a more natural flow of interaction rather than a fast-paced procedure.""",Temporal and Performance Constraints,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '21,Shöwn: Adaptive Conceptual Guidance Aids Example Use in Creative Tasks,10.1145/3461778.3462072,Work & Creativity Support,"1. adaptively displays one of the three guidance suggestions based on the user’s current task and context
2. displays a specific example screen that shows examples corresponding to the concept being presented
3. produces an icon of the table in the location specified by the user","Pre-scripted Content Control, System Logic Simulation Control","“to study interaction recognition and contextual heuristics for presenting examples without the cost of full implementation”
","Cost-Efficiency",Not specified,Not specified,"Augmenting Capabilities, Creativity",Not specified,Not specified,,,,
IUI '21,XAlgo: a Design Probe of Explaining Algorithms’ Internal States via Question-Answering,10.1145/3397481.3450676,Education&Learning,1. followed XAlgo’s model to manually generate answers on-the-fly to participants’ questions,"Communication Control, System Logic Simulation Control",1. “To validate XAlgo’s model without the cost of system implementation”,Cost-Efficiency,Not specified,Not specified,Education,Not specified,Not specified,,,,
DIS '21,Understanding the Design Space of Mouth Microgestures,10.1145/3461778.3462004,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","After the participant selected a gesture, the researcher performed the corresponding operation on the smartphone based on the participant’s choice, allowing the participant to observe the resulting visual feedback. For example, if the participant used a specific oral micro-gesture to trigger volume adjustment on the smartphone, the researcher would adjust the volume on the device, enabling the participant to see the visual feedback reflecting the volume change.","Embodied & Environmental Action Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
DIS '21,Understanding How Users Experience the Physiological Expression of Non-humanoid Voice-based Conversational Agent in Healthcare Services,10.1145/3461778.3462082,Health&Well-being,1. played the appropriate VCA speech video by clicking the button for the user response,Pre-scripted Content Control,1. “help the participants to realistically experience the scenarios”,Psychological Realism,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
C&amp;C '21,Child-Robot Interaction to Integrate Reflective Storytelling Into Creative Play,10.1145/3450741.3465254,"Education&Learning, Work & Creativity Support","1. used our story scaffolding software and text-to-speech (TTS) synthesized voices to guide the child in a spoken question-and-answer (Q&A) dialogue. Here, the researcher acted as a hybrid Wizard-of-Oz by listening until the child is finishing responding before cueing the software to verbalize the next robot prompt.","Communication Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,"Creativity, Education",Not specified,Not specified,,,,
ICMI '21,Multimodal User Satisfaction Recognition for Non-task Oriented Dialogue Systems,10.1145/3462244.3479928,Multimodal & Emerging Interaction Techniques,"select a topic, utterances on the topic, and general responses used in conversation","Communication Control, Pre-scripted Content Control",“To shorten the time interval before the machine responded”,Technical Limitation,"- “However, both the ML and human models showed false low-level recognition results (true high embarrassment was mistaken for low embarrassment), accounting for 31 % and 28 % of the total samples, respectively. This result suggests that both humans and machines have difficulty identifying high participant awkwardness at the dialogue level.”",Temporal and Performance Constraints,Unknown,Not specified,Not specified,,,,
IDC '20,Ding- dong: the Storybell and its wizard,10.1145/3392063.3394423,"Accessibility&Aging, Education&Learning","perform as the intelligence of the Storybell: calling the available Storytellers at that given moment of the day, maybe selecting the one among a shortlist of preferred profiles or according to whatsoever parameter would make sense for the parents",System Logic Simulation Control,"1. ""A research strategy based on Wizard of Oz (WoZ) and experience prototyping methods is described with the aim of probing parents' trust towards the remote readers as well as making parents reflect on their parental responsibility.""",Technical Limitation,Not specified,Not specified,"Accessibility & Aging, Education",Not specified,Not specified,,,,
AutomotiveUI '20,"A Wizard of Oz Field Study to Understand Non-Driving-Related Activities, Trust, and Acceptance of Automated Vehicles",10.1145/3409120.3410662,Automotive User Interfaces,1. gave participants the illusion of riding in a fully automated car while the vehicle was actually operated by a human operator ('wizard'),Embodied & Environmental Action Control,"1. “Real-world experiments using actual AVs may lead to severe risks for drivers, passengers, and other road users [5], which needs to be avoided.”",Ethical & Safety Constraints,"+ “practiced driving the car for one week before the start of the experiment.”
- “An inherent weakness of our specific implementation is that the automation wizard can be uncovered. If this happens, the perception and behavior of the corresponding participants might be influenced and their data might need to be excluded as we did in our study.""
- “In addition, user behavior in a real AV might still differ due to different driving behavior”","Ecological Validity, Wizard Variability and Bias",Augmenting Capabilities,Not specified,Not specified,,,,
DIS '20,A Wizard of Oz Study on Passengers' Experiences of a Robo-Taxi Service in Real-Life Settings,10.1145/3357236.3395465,Automotive User Interfaces,"1. Coordinating ride scheduling: Researchers determined whether to confirm each ride based on booking information submitted by passengers via a mobile app (including departure time, pickup address, destination address, and other additional details).
2. Operating the vehicle: Three researchers served as drivers, operating a Mercedes-Benz B-Class electric vehicle disguised as a robotaxi to transport passengers according to scheduled itineraries. During driving, an earpiece-based navigation system was used to assist with route guidance.
3. Simulating voice interaction: Throughout the ride, voice interactions were simulated to address passengers’ requests, preferences, or unexpected situations. Passengers initiated conversations using a ""wake word,"" and the driver responded in a manner consistent with robotaxi services.","Communication Control, Embodied & Environmental Action Control, System Logic Simulation Control","1. “As robotaxis are currently not available, apart from in very restricted test runs, there is little opportunity for any orthodox observational work.""
2. “All the above-mentioned studies outlined the WoZ approach as their method of choice”","Alignment with Prior Work, Technical Limitation","1. ""A limiting issue of this study is that the participants could use the service for free, though it would have been more realistic if they had to pay for it.""
2. ""the researcher sent ... an estimated price of the ride to make the experiment more realistic.""",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '20,Evaluating Smartwatch-based Sound Feedback for Deaf and Hard-of-hearing Users Across Contexts,10.1145/3313831.3376406,"Accessibility&Aging, Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","1. Remotely trigger visual and haptic feedback on the smartwatch via a smartphone application.
2. At three campus locations (student lounge, café, bus stop), trigger the smartwatch to display a predefined sound list according to scripted scenarios.",System Logic Simulation Control,1. “To provide a realistic smartwatch-based sound awareness user experience and to enable us to compare different types of visual and vibrational feedback”,Psychological Realism,Not specified,Not specified,"Accessibility & Aging, Augmenting Capabilities",Not specified,Not specified,,,,
HRI '19,On-road evaluation of autonomous driving training,,Automotive User Interfaces,"The experimental setup included the presence of two Wizards in the car: (1) the pilot wizard who drove the car when the Autonomous Driving Mode was active and (2) the Interaction Wizard who performed the sensing part, analyzed the driving environment and sent appropriate notification to the participant.","Embodied & Environmental Action Control, System Logic Simulation Control, Wizard Collaboration & Mediation","1. The training program allows drivers to discover and test car functionalities in a controlled environment without putting them and other road users at risk. 2. Since (at the time of writing) in Europe Level-3 automated cars are not allowed on public roads without special licenses, the test drive was conducted applying the Wizard-of-Oz protocol. 3. The Wizard of Oz protocol represents a suitable research methodology for allowing subjects to interact with a system they believe autonomous but which is actually controlled by a human.","Ethical & Safety Constraints, Psychological Realism, Technical Limitation","The use of this protocol has been judged controversial for what concerns ethical issues and embarrassment related to participants' deception.",Deception,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '20,"""Hey Model!"" – Natural User Interactions and Agency in Accessible Interactive 3D Models",10.1145/3313831.3376145,"Accessibility&Aging, Education&Learning","1. provided auditory output on behalf of the model
2. acted appropriately to fulfill the interactions
3. provided different degrees of assistance depending on the model agency condition","Communication Control, System Logic Simulation Control","1. “allowed participants to interact with 3D models in any way they felt natural, while free of technological constraints and for the researchers to readily manipulate the model’s degree of agency”
2. “Within the context of interfaces designed for BLV people, in addition to the work of Shi et. al. [44], WoZ has been used to explore non-visual web access [4], smartwatch interfaces [9] and social assistive aids [36]”","Adaptive Flexibility, Alignment with Prior Work, Psychological Realism, Technical Limitation",Not specified,Not specified,"Accessibility & Aging, Education",Not specified,Not specified,,,,
CHI '20,XRDirector: A Role-Based Collaborative Immersive Authoring System,10.1145/3313831.3376637,"HCI Methods & Tools, Work & Creativity Support, XR/VR/AR","1. used AR and VR devices as puppets to manipulate virtual objects in 3D space
2. collaboratively prototyped animated characters, light effects, camera movements, and interactive system behavior in a Wizard-of-Oz style","Embodied & Environmental Action Control, Wizard Collaboration & Mediation",1. The WoZ method allows humans to simulate system functions without writing complex code.,Cost-Efficiency,Not specified,Not specified,"Augmenting Capabilities, Creativity",Not specified,Not specified,,,,
CUI '20,What Can I Say? Effects of Discoverability in VUIs on Task Performance and User Experience,10.1145/3405755.3406119,"Multimodal & Emerging Interaction Techniques, Work & Creativity Support","1.  listen to the participant’s audible response, and then choose the next appropriate commands from an interface displaying all pre-programmed responses.","Pre-scripted Content Control, System Logic Simulation Control","1. “to enable realistic interaction with a voice-based interface without the need to implement the ‘intelligent’ elements of a system [9]”
2. “voice recognition errors can be minimised and information can be collected about ‘lexicon, grammar, or dialogue’ [13, 34] rather than a mistake in utterance performance.”","Controlling Confounds, Technical Limitation",Not specified,Not specified,Unknown,Not specified,Not specified,,,,
AutomotiveUI '20,Sound Decisions: How Synthetic Motor Sounds Improve Autonomous Vehicle-Pedestrian Interactions,10.1145/3409120.3410667,Automotive User Interfaces,"1. equipped a hybrid vehicle...with cameras, fake LiDAR sensors, and decals reading ‘Stanford Driverless Vehicle’...hid the driver so that from the outside",Embodied & Environmental Action Control,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
HRI '20,Defense Against the Dark Cars: Design Principles for Griefing of Autonomous Vehicles,10.1145/3319502.3374796,Automotive User Interfaces,"drove a simulated driverless vehicle, the Ghostdriver car, in a loop to repeatedly pass through a specific location, such as a crosswalk, sidewalk, or pedestrian area",Embodied & Environmental Action Control,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
IDC '20,Supporting children's math learning with feedback-augmented narrative technology,10.1145/3392063.3394400,Education&Learning,"1. responded to users' typed or spoken input with personalized clues using Wizard-of-Oz
2. the same person always played the wizard to ensure consistency in behavior and conversation style","Communication Control, System Logic Simulation Control",Not specified,Not specified,Not specified,Not specified,Education,Not specified,Not specified,,,,
HRI '20,Can a Robot Handle Customers with Unreasonable Complaints?,10.1145/3319502.3374830,HRI,"1.  in charge of controlling the robot according to the behavioral models defined in Sect. 3.3.
2. triggering the utterances of the robot and deciding to loop or go to the conclusion
3. deciding if the participant was “ready to listen”","Communication Control, Pre-scripted Content Control, System Logic Simulation Control","“We are not yet at the point in our research where implementation is important. Therefore, we did not use any specific practical framework but used a Wizard-of-Oz approach.”",Cost-Efficiency,"1. ""It is unrealistic to address unreasonable complaints across the whole spectrum of the service industry.""",Ecological Validity,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '19,Sketching NLP: A Case Study of Exploring the Right Things To Design with Language Intelligence,10.1145/3290605.3300415,Work & Creativity Support,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,,
CHI '19,The Effects of Interruption Timings on Autonomous Height-Adjustable Desks that Respond to Task Changes,10.1145/3290605.3300558,"Health&Well-being, Mobile Ubiquitous & Wearable Computing",observed participants from behind a wall and actuated the desk with the control panel,"Embodied & Environmental Action Control, System Logic Simulation Control","“In reality, it is hard to predict what people will do next, ignore false positives such as temporary poses (e.g., a phone interaction), and deal with concurrent tasks (e.g., typing while reading). Nonetheless, a system could learn from users and anticipate their needs based on observed pose changes or on-screen activity,”",Technical Limitation,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '19,How to Design Voice Based Navigation for How-To Videos,10.1145/3290605.3300931,Work & Creativity Support,"1. simulated a voice-controlled video interface that translated participants' voice commands into low-level video control operations such as play, pause, and rewind","Communication Control, System Logic Simulation Control","1. “We also observed that commonly supported voice commands are limited to simple words, that it can be difficult for users to express their intents with a restrictive command space, and that it is difficult for systems to understand the intents.”
2. “in the absence of these constraints”",Technical Limitation,"1. ""speech recognition failures and delays cause user frustrations.""",Temporal and Performance Constraints,"Augmenting Capabilities, Education",Not specified,Not specified,,,,
CHI '19,Co-Performing Agent: Design for Building User-Agent Partnership in Learning and Adaptive Services,10.1145/3290605.3300714,Work & Creativity Support,changed the default greeting message on the probe into the learning messages they developed by interpreting the actual user data collected on the Co - Performing Agent database,"Communication Control, System Logic Simulation Control",“To investigate users’ reactions and expectations in a more flexible manner”,Adaptive Flexibility,Not specified,Not specified,Unknown,Not specified,Not specified,,,,
CHI '19,Exploring Sound Awareness in the Home for People who are Deaf or Hard of Hearing,10.1145/3290605.3300324,"Accessibility&Aging, Mobile Ubiquitous & Wearable Computing","Operate the location buttons (mapped to research scenarios: dining room, kitchen, bathroom, living room, and outdoor area) and the preset sound list within the wizard interface; additional sounds can also be entered via the text box. During demonstrations, the operator simulates corresponding sound feedback in sync with actors' actions across different scenarios.","Embodied & Environmental Action Control, Pre-scripted Content Control",Not specified,Not specified,Not specified,Not specified,"Accessibility & Aging, Augmenting Capabilities",Not specified,Not specified,,,,
CHI '19,360proto: Making Interactive Virtual Reality &amp; Augmented Reality Prototypes from Paper,10.1145/3290605.3300826,"HCI Methods & Tools, XR/VR/AR",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
ICMI '19,Multimodal Learning for Identifying Opportunities for Empathetic Responses,10.1145/3340555.3353750,"Health&Well-being, Multimodal & Emerging Interaction Techniques",one wizard controlled the the agent’s verbal behavior while the other handled her nonverbal behavior,"Communication Control, Pre-scripted Content Control, Wizard Collaboration & Mediation",Not specified,Not specified,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
AutomotiveUI '19,The Case for Implicit External Human-Machine Interfaces for Autonomous Vehicles,10.1145/3342197.3345320,Automotive User Interfaces,"hides behind a car seat costume, and has the ability to drive normally and encounter interactions with pedestrians.",Embodied & Environmental Action Control,"1. “AVs are rarely on the road, and those currently being tested generally have safety drivers. Second, some people distrust AVs, even without having experienced directly interacting with them [45].”
2. “researchers have conducted several field studies using Wizard-of-Oz simulated AVs that approached pedestrians in everyday traffic on real roads using the Ghostdriver protocol [13, 49]”","Alignment with Prior Work, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
AutomotiveUI '19,"To Please in a Pod: Employing an Anthropomorphic Agent-Interlocutor to Enhance Trust and User Experience in an Autonomous, Self-Driving Vehicle",10.1145/3342197.3344545,Automotive User Interfaces,"1. responded to all participant enquiries through the anthropomorphic agent while avoiding clinical, out-of-domain responses","Communication Control, Pre-scripted Content Control",Not specified,Not specified,"1. ""Participants were told that they were interacting with a prototype highly-capable, conversational interface; they were not aware that they were conversing with another human.""
2. ""A potential criticism associated with the anthropomorphic agent ... was a lack of system transparency.""","Deception, Transparency",Augmenting Capabilities,Not specified,Not specified,,,,
CHI '18,Exploring the Role of Conversational Cues in Guided Task Support with Virtual Assistants,10.1145/3173574.3173782,Multimodal & Emerging Interaction Techniques, pretends to be a system that talks with a user,"Communication Control, Pre-scripted Content Control","1. “One of the advantages of our simulation was that it was listening to the user at all times, which could be challenging to implement in practice (there are both technical limitations and privacy concerns).”","Ethical & Safety Constraints, Technical Limitation",Not specified,Not specified,Communication & Writing,Focuses on the language behavior and communication strategies of writers or speakers in a specific interaction context.,Not specified,,,,
CHI '18,Single or Multiple Conversational Agents? An Interactional Coherence Comparison,10.1145/3173574.3173765,"Multimodal & Emerging Interaction Techniques, Work & Creativity Support","1. selected responses based on keywords.
2. proactively insert new topics when either they did not know how to answer a question","Communication Control, Pre-scripted Content Control, System Logic Simulation Control","1. “This technique helps designers to consider unique qualities of human-machine communication in initial design stages and to understand users’ expectations when interacting with conversational systems [8].”
2. “Besides, this method enables to control for some limitations of NLP.”
3. “We used a Wizard of Oz approach to control for limitations of natural language processing, inspired in previous chatbots studies [6,62].”","Alignment with Prior Work, Technical Limitation","1. ""response-time is an issue.""
2. ""it is not possible to the wizards reproduce computational power, which introduced a time delay in both scenarios.""
3. ""the delay was too large from participants' perspective.""",Temporal and Performance Constraints,Design,Not specified,Not specified,,,,
CHI '18,Extracting Design Guidelines for Wearables and Movement in Tabletop Role-Playing Games via a Research Through Design Process,10.1145/3173574.3174087,"Mobile Ubiquitous & Wearable Computing, Work & Creativity Support","Controlling non-programmable actions (e.g., 'power moves' requiring squeezing)",Embodied & Environmental Action Control,"1. “The ones that we could not program, such as the “power move” which requires squeezing, controlled by us during the gameplay.”",Technical Limitation,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '18,EDITalk: Towards Designing Eyes-free Interactions for Mobile Word Processing,10.1145/3173574.3173977,Accessibility&Aging,"The human facilitator would stop the VoiceOver once the participant started issuing any command, perform the desired operation on the text, provide necessary confirmation and resume the VoiceOver from where it was stopped",System Logic Simulation Control,Not specified,Not specified,Not specified,Not specified,Accessibility & Aging,Not specified,Not specified,,,,
CHI '18,GestureWiz: A Human-Powered Gesture Design Environment for User Interface Prototypes,10.1145/3173574.3173681,"HCI Methods & Tools, Work & Creativity Support, XR/VR/AR",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
CHI '18,Huggable: The Impact of Embodiment on Promoting Socio-emotional Interactions for Young Pediatric Inpatients,10.1145/3173574.3174069,Health&Well-being,The virtual and the robotic Huggable were tele - operated by an additional CCLS outside the patient bed space.,"Communication Control, Embodied & Environmental Action Control, Pre-scripted Content Control",1. “We intend to gain insights on the potential roles of the interactive interventions as an extension of CCLS service before developing a fully autonomous system”,Cost-Efficiency,Not specified,Not specified,Well-being & Health,Not specified,Not specified,,,,
AutomotiveUI '18,¡Vamos! Observations of Pedestrian Interactions with Driverless Cars in Mexico,10.1145/3239060.3241680,Automotive User Interfaces,"1. simulated an on-road driverless vehicle by outfitting a manually driven car with a driver in a car seat costume
2. the hidden driver acted as the wizard controlling the vehicle","Embodied & Environmental Action Control, Wizard Collaboration & Mediation","1. “Because there are regulatory and safety issues involved with using self-driving cars on public roads, we employ a Ghostdriver protocol [30] to simulate a self-driving car for our experiment.”
2. “This Wizard-of-Oz protocol [3] allows us to anticipate how people will interact with self-driving vehicles in advance of the technology being ready for the road; indeed, it allows us to experiment with interaction styles prior to implementation.”","Ethical & Safety Constraints, Technical Limitation",Not specified,Not specified,Augmenting Capabilities,Not specified,Not specified,,,,
IDC '18,Children asking questions: speech interface reformulations and personification preferences,10.1145/3202185.3202207,Education&Learning,"select common responses and statements, as well as directly edit response text when modifications were necessary","Communication Control, Pre-scripted Content Control, System Logic Simulation Control","1. “To focus our investigation on the role of question reformulations (rather than recognition factors), we chose to use a Wizard-of-Oz (WoZ) technique to simulate a voice assistant. This allowed us to have human-quality speech recognition, removing this confound from the investigation.”",Controlling Confounds,Not specified,Not specified,Education,The research context clearly points to an educational application.,Not specified,,,,
DIS '18,"ActuEating: Designing, Studying and Exploring Actuating Decorative Artefacts",10.1145/3196709.3196761,"Mobile Ubiquitous & Wearable Computing, Multimodal & Emerging Interaction Techniques","Driven using a remote WoO interface, ActuEater1 could change its shape on top of the dining table in an array of different actuations","Embodied & Environmental Action Control, System Logic Simulation Control","1. ""Wizard of Oz (WoO), it enabled researchers to explore the users' interpretations, sense-making and experiences of its affordances and transitions.""",Alignment with Prior Work,- “because human control (WoO) was not always immediate and consistent to all 6 participants”,Temporal and Performance Constraints,Design,The core goal of the WoZ experiment is to explore the design space of interactive decorative artifacts.,Not specified,,,,
